apt_name,total_taxiout_additional_minutes,delay_type,delay_minutes
Frankfurt,61017.15833,Disruption,6276
Frankfurt,61017.15833,Capacity,0
Frankfurt,61017.15833,Weather,4943
Frankfurt,61017.15833,Event,0
Frankfurt,61017.15833,Staffing,0
Frankfurt,63604.85,Disruption,1
Frankfurt,63604.85,Capacity,605
Frankfurt,63604.85,Weather,4835
Frankfurt,63604.85,Event,0
Frankfurt,63604.85,Staffing,0
Frankfurt,77712.785,Disruption,6219
Frankfurt,77712.785,Capacity,785
Frankfurt,77712.785,Weather,2100
Frankfurt,77712.785,Event,0
Frankfurt,77712.785,Staffing,0
Frankfurt,85898.03,Disruption,11
Frankfurt,85898.03,Capacity,309
Frankfurt,85898.03,Weather,18648
Frankfurt,85898.03,Event,0
Frankfurt,85898.03,Staffing,0
Frankfurt,92014.06167,Disruption,0
Frankfurt,92014.06167,Capacity,0
Frankfurt,92014.06167,Weather,62215
Frankfurt,92014.06167,Event,0
Frankfurt,92014.06167,Staffing,0
Frankfurt,91265.51833,Disruption,0
Frankfurt,91265.51833,Capacity,918
Frankfurt,91265.51833,Weather,45441
Frankfurt,91265.51833,Event,0
Frankfurt,91265.51833,Staffing,0
Frankfurt,80548.35333,Disruption,0
Frankfurt,80548.35333,Capacity,228
Frankfurt,80548.35333,Weather,20968
Frankfurt,80548.35333,Event,0
Frankfurt,80548.35333,Staffing,0
Frankfurt,100291.9967,Disruption,28
Frankfurt,100291.9967,Capacity,0
Frankfurt,100291.9967,Weather,18749
Frankfurt,100291.9967,Event,0
Frankfurt,100291.9967,Staffing,0
Frankfurt,103455.3833,Disruption,0
Frankfurt,103455.3833,Capacity,537
Frankfurt,103455.3833,Weather,4475
Frankfurt,103455.3833,Event,0
Frankfurt,103455.3833,Staffing,0
Frankfurt,96581.275,Disruption,0
Frankfurt,96581.275,Capacity,211
Frankfurt,96581.275,Weather,845
Frankfurt,96581.275,Event,5
Frankfurt,96581.275,Staffing,0
Frankfurt,79443.77167,Disruption,0
Frankfurt,79443.77167,Capacity,639
Frankfurt,79443.77167,Weather,8907
Frankfurt,79443.77167,Event,0
Frankfurt,79443.77167,Staffing,0
Frankfurt,74117.14833,Disruption,0
Frankfurt,74117.14833,Capacity,0
Frankfurt,74117.14833,Weather,13455
Frankfurt,74117.14833,Event,0
Frankfurt,74117.14833,Staffing,0
Frankfurt,62570.44833,Disruption,0
Frankfurt,62570.44833,Capacity,0
Frankfurt,62570.44833,Weather,7839
Frankfurt,62570.44833,Event,0
Frankfurt,62570.44833,Staffing,0
Frankfurt,64412.90167,Disruption,0
Frankfurt,64412.90167,Capacity,0
Frankfurt,64412.90167,Weather,1697
Frankfurt,64412.90167,Event,0
Frankfurt,64412.90167,Staffing,0
Frankfurt,82393.70333,Disruption,0
Frankfurt,82393.70333,Capacity,507
Frankfurt,82393.70333,Weather,10572
Frankfurt,82393.70333,Event,0
Frankfurt,82393.70333,Staffing,0
Frankfurt,82752.65,Disruption,0
Frankfurt,82752.65,Capacity,0
Frankfurt,82752.65,Weather,7485
Frankfurt,82752.65,Event,0
Frankfurt,82752.65,Staffing,0
Frankfurt,91541.15,Disruption,1983
Frankfurt,91541.15,Capacity,1251
Frankfurt,91541.15,Weather,27985
Frankfurt,91541.15,Event,0
Frankfurt,91541.15,Staffing,0
Frankfurt,86237.855,Disruption,0
Frankfurt,86237.855,Capacity,0
Frankfurt,86237.855,Weather,28052
Frankfurt,86237.855,Event,0
Frankfurt,86237.855,Staffing,0
Frankfurt,72755.67833,Disruption,2257
Frankfurt,72755.67833,Capacity,280
Frankfurt,72755.67833,Weather,21746
Frankfurt,72755.67833,Event,0
Frankfurt,72755.67833,Staffing,0
Frankfurt,71680.55833,Disruption,118
Frankfurt,71680.55833,Capacity,0
Frankfurt,71680.55833,Weather,28205
Frankfurt,71680.55833,Event,0
Frankfurt,71680.55833,Staffing,0
Frankfurt,95134.885,Disruption,1445
Frankfurt,95134.885,Capacity,356
Frankfurt,95134.885,Weather,3403
Frankfurt,95134.885,Event,0
Frankfurt,95134.885,Staffing,31
Frankfurt,97874.93333,Disruption,0
Frankfurt,97874.93333,Capacity,121
Frankfurt,97874.93333,Weather,12655
Frankfurt,97874.93333,Event,0
Frankfurt,97874.93333,Staffing,0
Frankfurt,74461.34167,Disruption,0
Frankfurt,74461.34167,Capacity,0
Frankfurt,74461.34167,Weather,10026
Frankfurt,74461.34167,Event,0
Frankfurt,74461.34167,Staffing,0
Frankfurt,66401.87833,Disruption,0
Frankfurt,66401.87833,Capacity,0
Frankfurt,66401.87833,Weather,8088
Frankfurt,66401.87833,Event,0
Frankfurt,66401.87833,Staffing,0
Frankfurt,53960.28,Disruption,0
Frankfurt,53960.28,Capacity,0
Frankfurt,53960.28,Weather,12541
Frankfurt,53960.28,Event,0
Frankfurt,53960.28,Staffing,0
Frankfurt,59429.935,Disruption,163
Frankfurt,59429.935,Capacity,0
Frankfurt,59429.935,Weather,4947
Frankfurt,59429.935,Event,0
Frankfurt,59429.935,Staffing,0
Frankfurt,24228.47,Disruption,989
Frankfurt,24228.47,Capacity,0
Frankfurt,24228.47,Weather,545
Frankfurt,24228.47,Event,0
Frankfurt,24228.47,Staffing,0
Frankfurt,5417.778333,Disruption,331
Frankfurt,5417.778333,Capacity,0
Frankfurt,5417.778333,Weather,0
Frankfurt,5417.778333,Event,0
Frankfurt,5417.778333,Staffing,0
Frankfurt,25347.08667,Disruption,0
Frankfurt,25347.08667,Capacity,0
Frankfurt,25347.08667,Weather,252
Frankfurt,25347.08667,Event,0
Frankfurt,25347.08667,Staffing,0
Frankfurt,22123.40667,Disruption,60
Frankfurt,22123.40667,Capacity,0
Frankfurt,22123.40667,Weather,0
Frankfurt,22123.40667,Event,0
Frankfurt,22123.40667,Staffing,0
Frankfurt,14951.45,Disruption,0
Frankfurt,14951.45,Capacity,0
Frankfurt,14951.45,Weather,0
Frankfurt,14951.45,Event,0
Frankfurt,14951.45,Staffing,0
Frankfurt,16392.49833,Disruption,0
Frankfurt,16392.49833,Capacity,0
Frankfurt,16392.49833,Weather,0
Frankfurt,16392.49833,Event,0
Frankfurt,16392.49833,Staffing,159
Frankfurt,33237.665,Disruption,0
Frankfurt,33237.665,Capacity,0
Frankfurt,33237.665,Weather,2479
Frankfurt,33237.665,Event,0
Frankfurt,33237.665,Staffing,0
Frankfurt,40732.47833,Disruption,100
Frankfurt,40732.47833,Capacity,0
Frankfurt,40732.47833,Weather,1982
Frankfurt,40732.47833,Event,0
Frankfurt,40732.47833,Staffing,0
Frankfurt,34824.11833,Disruption,2364
Frankfurt,34824.11833,Capacity,0
Frankfurt,34824.11833,Weather,2065
Frankfurt,34824.11833,Event,0
Frankfurt,34824.11833,Staffing,0
Frankfurt,40897.68667,Disruption,0
Frankfurt,40897.68667,Capacity,0
Frankfurt,40897.68667,Weather,7378
Frankfurt,40897.68667,Event,0
Frankfurt,40897.68667,Staffing,0
Frankfurt,41554.23333,Disruption,0
Frankfurt,41554.23333,Capacity,0
Frankfurt,41554.23333,Weather,3092
Frankfurt,41554.23333,Event,0
Frankfurt,41554.23333,Staffing,0
Frankfurt,36693.58,Disruption,3703
Frankfurt,36693.58,Capacity,0
Frankfurt,36693.58,Weather,1966
Frankfurt,36693.58,Event,0
Frankfurt,36693.58,Staffing,0
Frankfurt,31369.35667,Disruption,0
Frankfurt,31369.35667,Capacity,0
Frankfurt,31369.35667,Weather,2376
Frankfurt,31369.35667,Event,0
Frankfurt,31369.35667,Staffing,0
Frankfurt,33444.92833,Disruption,512
Frankfurt,33444.92833,Capacity,0
Frankfurt,33444.92833,Weather,0
Frankfurt,33444.92833,Event,0
Frankfurt,33444.92833,Staffing,0
Frankfurt,45930.17667,Disruption,0
Frankfurt,45930.17667,Capacity,0
Frankfurt,45930.17667,Weather,2668
Frankfurt,45930.17667,Event,0
Frankfurt,45930.17667,Staffing,0
Frankfurt,55360.82667,Disruption,0
Frankfurt,55360.82667,Capacity,0
Frankfurt,55360.82667,Weather,11960
Frankfurt,55360.82667,Event,0
Frankfurt,55360.82667,Staffing,0
Frankfurt,55332.09833,Disruption,0
Frankfurt,55332.09833,Capacity,417
Frankfurt,55332.09833,Weather,12398
Frankfurt,55332.09833,Event,0
Frankfurt,55332.09833,Staffing,0
Frankfurt,54295.43,Disruption,133
Frankfurt,54295.43,Capacity,0
Frankfurt,54295.43,Weather,1052
Frankfurt,54295.43,Event,0
Frankfurt,54295.43,Staffing,0
Frankfurt,51751.605,Disruption,0
Frankfurt,51751.605,Capacity,0
Frankfurt,51751.605,Weather,3569
Frankfurt,51751.605,Event,0
Frankfurt,51751.605,Staffing,494
Frankfurt,55217.065,Disruption,0
Frankfurt,55217.065,Capacity,0
Frankfurt,55217.065,Weather,8709
Frankfurt,55217.065,Event,0
Frankfurt,55217.065,Staffing,0
Frankfurt,53933.23833,Disruption,2986
Frankfurt,53933.23833,Capacity,205
Frankfurt,53933.23833,Weather,10307
Frankfurt,53933.23833,Event,0
Frankfurt,53933.23833,Staffing,0
Frankfurt,53425.86833,Disruption,0
Frankfurt,53425.86833,Capacity,0
Frankfurt,53425.86833,Weather,7511
Frankfurt,53425.86833,Event,0
Frankfurt,53425.86833,Staffing,0
Frankfurt,45436.42333,Disruption,0
Frankfurt,45436.42333,Capacity,5252
Frankfurt,45436.42333,Weather,2957
Frankfurt,45436.42333,Event,0
Frankfurt,45436.42333,Staffing,0
Frankfurt,47955.13667,Disruption,3883
Frankfurt,47955.13667,Capacity,0
Frankfurt,47955.13667,Weather,1164
Frankfurt,47955.13667,Event,0
Frankfurt,47955.13667,Staffing,0
Frankfurt,49729.055,Disruption,1475
Frankfurt,49729.055,Capacity,0
Frankfurt,49729.055,Weather,1444
Frankfurt,49729.055,Event,0
Frankfurt,49729.055,Staffing,0
Frankfurt,54525.36,Disruption,694
Frankfurt,54525.36,Capacity,0
Frankfurt,54525.36,Weather,7670
Frankfurt,54525.36,Event,0
Frankfurt,54525.36,Staffing,0
Frankfurt,60132.80333,Disruption,0
Frankfurt,60132.80333,Capacity,105
Frankfurt,60132.80333,Weather,4938
Frankfurt,60132.80333,Event,0
Frankfurt,60132.80333,Staffing,0
Frankfurt,66416.85833,Disruption,148
Frankfurt,66416.85833,Capacity,126531
Frankfurt,66416.85833,Weather,8747
Frankfurt,66416.85833,Event,0
Frankfurt,66416.85833,Staffing,0
Frankfurt,64786.2,Disruption,3089
Frankfurt,64786.2,Capacity,10564
Frankfurt,64786.2,Weather,13380
Frankfurt,64786.2,Event,0
Frankfurt,64786.2,Staffing,0
Frankfurt,70787.88833,Disruption,127
Frankfurt,70787.88833,Capacity,0
Frankfurt,70787.88833,Weather,23202
Frankfurt,70787.88833,Event,0
Frankfurt,70787.88833,Staffing,0
Frankfurt,63661.17,Disruption,0
Frankfurt,63661.17,Capacity,16
Frankfurt,63661.17,Weather,19605
Frankfurt,63661.17,Event,0
Frankfurt,63661.17,Staffing,0
Frankfurt,65668.48,Disruption,15
Frankfurt,65668.48,Capacity,0
Frankfurt,65668.48,Weather,12708
Frankfurt,65668.48,Event,0
Frankfurt,65668.48,Staffing,0
Frankfurt,72117.51833,Disruption,413
Frankfurt,72117.51833,Capacity,0
Frankfurt,72117.51833,Weather,18311
Frankfurt,72117.51833,Event,0
Frankfurt,72117.51833,Staffing,0
Frankfurt,66272.08333,Disruption,24
Frankfurt,66272.08333,Capacity,0
Frankfurt,66272.08333,Weather,9469
Frankfurt,66272.08333,Event,0
Frankfurt,66272.08333,Staffing,0
Frankfurt,62613.415,Disruption,0
Frankfurt,62613.415,Capacity,516
Frankfurt,62613.415,Weather,18190
Frankfurt,62613.415,Event,0
Frankfurt,62613.415,Staffing,0
Frankfurt,51229.70667,Disruption,0
Frankfurt,51229.70667,Capacity,0
Frankfurt,51229.70667,Weather,11390
Frankfurt,51229.70667,Event,0
Frankfurt,51229.70667,Staffing,0
Frankfurt,51217.33833,Disruption,102
Frankfurt,51217.33833,Capacity,0
Frankfurt,51217.33833,Weather,2479
Frankfurt,51217.33833,Event,0
Frankfurt,51217.33833,Staffing,0
Frankfurt,56611.555,Disruption,1940
Frankfurt,56611.555,Capacity,0
Frankfurt,56611.555,Weather,13607
Frankfurt,56611.555,Event,0
Frankfurt,56611.555,Staffing,0
Frankfurt,64889.02,Disruption,0
Frankfurt,64889.02,Capacity,0
Frankfurt,64889.02,Weather,8705
Frankfurt,64889.02,Event,0
Frankfurt,64889.02,Staffing,0
Frankfurt,70403.95667,Disruption,2293
Frankfurt,70403.95667,Capacity,258
Frankfurt,70403.95667,Weather,24563
Frankfurt,70403.95667,Event,0
Frankfurt,70403.95667,Staffing,0
Frankfurt,70994.58833,Disruption,1846
Frankfurt,70994.58833,Capacity,85
Frankfurt,70994.58833,Weather,16427
Frankfurt,70994.58833,Event,0
Frankfurt,70994.58833,Staffing,0
Frankfurt,69320.39167,Disruption,8418
Frankfurt,69320.39167,Capacity,135
Frankfurt,69320.39167,Weather,16329
Frankfurt,69320.39167,Event,0
Frankfurt,69320.39167,Staffing,0
Frankfurt,67337.285,Disruption,0
Frankfurt,67337.285,Capacity,8
Frankfurt,67337.285,Weather,6908
Frankfurt,67337.285,Event,0
Frankfurt,67337.285,Staffing,0
Frankfurt,70536.475,Disruption,1566
Frankfurt,70536.475,Capacity,2928
Frankfurt,70536.475,Weather,21148
Frankfurt,70536.475,Event,0
Frankfurt,70536.475,Staffing,0
Frankfurt,71767.13833,Disruption,3677
Frankfurt,71767.13833,Capacity,0
Frankfurt,71767.13833,Weather,28210
Frankfurt,71767.13833,Event,0
Frankfurt,71767.13833,Staffing,0
Frankfurt,62866.74,Disruption,21
Frankfurt,62866.74,Capacity,33129
Frankfurt,62866.74,Weather,17377
Frankfurt,62866.74,Event,0
Frankfurt,62866.74,Staffing,0
Frankfurt,58945.1,Disruption,8626
Frankfurt,58945.1,Capacity,0
Frankfurt,58945.1,Weather,21239
Frankfurt,58945.1,Event,0
Frankfurt,58945.1,Staffing,0
Cologne-Bonn,12749.83167,Disruption,0
Cologne-Bonn,12749.83167,Capacity,1198
Cologne-Bonn,12749.83167,Weather,104
Cologne-Bonn,12749.83167,Event,0
Cologne-Bonn,12749.83167,Staffing,0
Cologne-Bonn,12046.52667,Disruption,0
Cologne-Bonn,12046.52667,Capacity,0
Cologne-Bonn,12046.52667,Weather,12
Cologne-Bonn,12046.52667,Event,0
Cologne-Bonn,12046.52667,Staffing,0
Cologne-Bonn,14414.245,Disruption,0
Cologne-Bonn,14414.245,Capacity,188
Cologne-Bonn,14414.245,Weather,0
Cologne-Bonn,14414.245,Event,0
Cologne-Bonn,14414.245,Staffing,0
Cologne-Bonn,12928.26,Disruption,157
Cologne-Bonn,12928.26,Capacity,611
Cologne-Bonn,12928.26,Weather,500
Cologne-Bonn,12928.26,Event,0
Cologne-Bonn,12928.26,Staffing,0
Cologne-Bonn,16199.87,Disruption,0
Cologne-Bonn,16199.87,Capacity,1701
Cologne-Bonn,16199.87,Weather,625
Cologne-Bonn,16199.87,Event,0
Cologne-Bonn,16199.87,Staffing,0
Cologne-Bonn,14067.02167,Disruption,0
Cologne-Bonn,14067.02167,Capacity,3321
Cologne-Bonn,14067.02167,Weather,516
Cologne-Bonn,14067.02167,Event,0
Cologne-Bonn,14067.02167,Staffing,0
Cologne-Bonn,14504.105,Disruption,0
Cologne-Bonn,14504.105,Capacity,6669
Cologne-Bonn,14504.105,Weather,0
Cologne-Bonn,14504.105,Event,0
Cologne-Bonn,14504.105,Staffing,0
Cologne-Bonn,15520.215,Disruption,0
Cologne-Bonn,15520.215,Capacity,4552
Cologne-Bonn,15520.215,Weather,405
Cologne-Bonn,15520.215,Event,0
Cologne-Bonn,15520.215,Staffing,0
Cologne-Bonn,17406.73667,Disruption,0
Cologne-Bonn,17406.73667,Capacity,4282
Cologne-Bonn,17406.73667,Weather,174
Cologne-Bonn,17406.73667,Event,0
Cologne-Bonn,17406.73667,Staffing,0
Cologne-Bonn,20062.83167,Disruption,0
Cologne-Bonn,20062.83167,Capacity,6394
Cologne-Bonn,20062.83167,Weather,262
Cologne-Bonn,20062.83167,Event,0
Cologne-Bonn,20062.83167,Staffing,0
Cologne-Bonn,12359.195,Disruption,0
Cologne-Bonn,12359.195,Capacity,502
Cologne-Bonn,12359.195,Weather,0
Cologne-Bonn,12359.195,Event,0
Cologne-Bonn,12359.195,Staffing,0
Cologne-Bonn,13372.63167,Disruption,0
Cologne-Bonn,13372.63167,Capacity,640
Cologne-Bonn,13372.63167,Weather,589
Cologne-Bonn,13372.63167,Event,0
Cologne-Bonn,13372.63167,Staffing,0
Cologne-Bonn,11871.00167,Disruption,126
Cologne-Bonn,11871.00167,Capacity,67
Cologne-Bonn,11871.00167,Weather,3151
Cologne-Bonn,11871.00167,Event,0
Cologne-Bonn,11871.00167,Staffing,0
Cologne-Bonn,12683.87667,Disruption,0
Cologne-Bonn,12683.87667,Capacity,0
Cologne-Bonn,12683.87667,Weather,85
Cologne-Bonn,12683.87667,Event,0
Cologne-Bonn,12683.87667,Staffing,0
Cologne-Bonn,12526.35,Disruption,0
Cologne-Bonn,12526.35,Capacity,319
Cologne-Bonn,12526.35,Weather,0
Cologne-Bonn,12526.35,Event,0
Cologne-Bonn,12526.35,Staffing,0
Cologne-Bonn,17571.70333,Disruption,0
Cologne-Bonn,17571.70333,Capacity,882
Cologne-Bonn,17571.70333,Weather,387
Cologne-Bonn,17571.70333,Event,0
Cologne-Bonn,17571.70333,Staffing,0
Cologne-Bonn,16710.82667,Disruption,0
Cologne-Bonn,16710.82667,Capacity,2247
Cologne-Bonn,16710.82667,Weather,2029
Cologne-Bonn,16710.82667,Event,0
Cologne-Bonn,16710.82667,Staffing,0
Cologne-Bonn,19475.96167,Disruption,0
Cologne-Bonn,19475.96167,Capacity,3302
Cologne-Bonn,19475.96167,Weather,323
Cologne-Bonn,19475.96167,Event,0
Cologne-Bonn,19475.96167,Staffing,0
Cologne-Bonn,20481.35167,Disruption,0
Cologne-Bonn,20481.35167,Capacity,2783
Cologne-Bonn,20481.35167,Weather,442
Cologne-Bonn,20481.35167,Event,0
Cologne-Bonn,20481.35167,Staffing,0
Cologne-Bonn,20079.64833,Disruption,0
Cologne-Bonn,20079.64833,Capacity,2333
Cologne-Bonn,20079.64833,Weather,0
Cologne-Bonn,20079.64833,Event,0
Cologne-Bonn,20079.64833,Staffing,0
Cologne-Bonn,20617.52,Disruption,0
Cologne-Bonn,20617.52,Capacity,3144
Cologne-Bonn,20617.52,Weather,0
Cologne-Bonn,20617.52,Event,0
Cologne-Bonn,20617.52,Staffing,0
Cologne-Bonn,12869.93167,Disruption,46
Cologne-Bonn,12869.93167,Capacity,0
Cologne-Bonn,12869.93167,Weather,127
Cologne-Bonn,12869.93167,Event,0
Cologne-Bonn,12869.93167,Staffing,0
Cologne-Bonn,12022.91,Disruption,0
Cologne-Bonn,12022.91,Capacity,150
Cologne-Bonn,12022.91,Weather,0
Cologne-Bonn,12022.91,Event,0
Cologne-Bonn,12022.91,Staffing,0
Cologne-Bonn,10915.26833,Disruption,0
Cologne-Bonn,10915.26833,Capacity,0
Cologne-Bonn,10915.26833,Weather,94
Cologne-Bonn,10915.26833,Event,0
Cologne-Bonn,10915.26833,Staffing,0
Cologne-Bonn,10707.62167,Disruption,0
Cologne-Bonn,10707.62167,Capacity,0
Cologne-Bonn,10707.62167,Weather,89
Cologne-Bonn,10707.62167,Event,0
Cologne-Bonn,10707.62167,Staffing,0
Cologne-Bonn,7949.628333,Disruption,0
Cologne-Bonn,7949.628333,Capacity,49
Cologne-Bonn,7949.628333,Weather,0
Cologne-Bonn,7949.628333,Event,0
Cologne-Bonn,7949.628333,Staffing,0
Cologne-Bonn,8661.788333,Disruption,85
Cologne-Bonn,8661.788333,Capacity,0
Cologne-Bonn,8661.788333,Weather,0
Cologne-Bonn,8661.788333,Event,0
Cologne-Bonn,8661.788333,Staffing,0
Cologne-Bonn,8314.773333,Disruption,0
Cologne-Bonn,8314.773333,Capacity,67
Cologne-Bonn,8314.773333,Weather,84
Cologne-Bonn,8314.773333,Event,0
Cologne-Bonn,8314.773333,Staffing,0
Cologne-Bonn,7864.305,Disruption,0
Cologne-Bonn,7864.305,Capacity,70
Cologne-Bonn,7864.305,Weather,0
Cologne-Bonn,7864.305,Event,0
Cologne-Bonn,7864.305,Staffing,0
Cologne-Bonn,6682.093333,Disruption,0
Cologne-Bonn,6682.093333,Capacity,52
Cologne-Bonn,6682.093333,Weather,0
Cologne-Bonn,6682.093333,Event,0
Cologne-Bonn,6682.093333,Staffing,0
Cologne-Bonn,7822.788333,Disruption,0
Cologne-Bonn,7822.788333,Capacity,729
Cologne-Bonn,7822.788333,Weather,0
Cologne-Bonn,7822.788333,Event,0
Cologne-Bonn,7822.788333,Staffing,0
Cologne-Bonn,5614.631667,Disruption,0
Cologne-Bonn,5614.631667,Capacity,385
Cologne-Bonn,5614.631667,Weather,0
Cologne-Bonn,5614.631667,Event,0
Cologne-Bonn,5614.631667,Staffing,0
Cologne-Bonn,6152.396667,Disruption,0
Cologne-Bonn,6152.396667,Capacity,578
Cologne-Bonn,6152.396667,Weather,0
Cologne-Bonn,6152.396667,Event,0
Cologne-Bonn,6152.396667,Staffing,0
Cologne-Bonn,5912.14,Disruption,0
Cologne-Bonn,5912.14,Capacity,508
Cologne-Bonn,5912.14,Weather,0
Cologne-Bonn,5912.14,Event,0
Cologne-Bonn,5912.14,Staffing,0
Cologne-Bonn,7040.358333,Disruption,0
Cologne-Bonn,7040.358333,Capacity,385
Cologne-Bonn,7040.358333,Weather,322
Cologne-Bonn,7040.358333,Event,0
Cologne-Bonn,7040.358333,Staffing,0
Cologne-Bonn,8456.608333,Disruption,0
Cologne-Bonn,8456.608333,Capacity,1791
Cologne-Bonn,8456.608333,Weather,129
Cologne-Bonn,8456.608333,Event,0
Cologne-Bonn,8456.608333,Staffing,0
Cologne-Bonn,12678.83,Disruption,0
Cologne-Bonn,12678.83,Capacity,6081
Cologne-Bonn,12678.83,Weather,0
Cologne-Bonn,12678.83,Event,0
Cologne-Bonn,12678.83,Staffing,0
Cologne-Bonn,13762.685,Disruption,2782
Cologne-Bonn,13762.685,Capacity,4152
Cologne-Bonn,13762.685,Weather,0
Cologne-Bonn,13762.685,Event,0
Cologne-Bonn,13762.685,Staffing,0
Cologne-Bonn,11973.305,Disruption,29
Cologne-Bonn,11973.305,Capacity,5131
Cologne-Bonn,11973.305,Weather,0
Cologne-Bonn,11973.305,Event,0
Cologne-Bonn,11973.305,Staffing,0
Cologne-Bonn,12801.21833,Disruption,384
Cologne-Bonn,12801.21833,Capacity,5219
Cologne-Bonn,12801.21833,Weather,786
Cologne-Bonn,12801.21833,Event,0
Cologne-Bonn,12801.21833,Staffing,0
Cologne-Bonn,10015.53167,Disruption,0
Cologne-Bonn,10015.53167,Capacity,1764
Cologne-Bonn,10015.53167,Weather,1783
Cologne-Bonn,10015.53167,Event,0
Cologne-Bonn,10015.53167,Staffing,0
Cologne-Bonn,11689.43333,Disruption,0
Cologne-Bonn,11689.43333,Capacity,3983
Cologne-Bonn,11689.43333,Weather,0
Cologne-Bonn,11689.43333,Event,0
Cologne-Bonn,11689.43333,Staffing,0
Cologne-Bonn,8341.346667,Disruption,0
Cologne-Bonn,8341.346667,Capacity,1176
Cologne-Bonn,8341.346667,Weather,1093
